tag,raw_tag,installation,category,description,param_type,unit,formula,norm_mean,norm_std,min_norm,max_norm,p01,p05,p50,p95,p99,is_controlled,controlled_min,controlled_max,controlled_current
F12,F12,AVT,KIP,Расход 2 ЦО в К2,F,т/ч,,333.1225,82.502,-1.9016,436.0656,-1.4324,231.4126,352.9631,419.8464,434.3392,False,,,
T12,T12,24-2000,KIP,Расход бензина c установки,T,°C,,177.4785,39.4427,6.1158,307.0,10.3463,138.6534,185.7452,209.9899,252.0,False,,,
T13,T13,AVT,KIP,1-е ЦО К-2 после Т-30,T,°C,,83.7941,17.1932,4.6185,108.1417,7.1546,77.7783,85.0002,96.8433,104.6388,False,,,
P13,P13,24-2000,KIP,Трубопровод на выходе из реактора Р-202: Качество продукции по S,P,кгс/см2,,3.7541,0.7331,0.0066,4.0393,0.0076,3.4731,3.9182,4.0079,4.0321,False,,,
F14_avt,F14,AVT,KIP,Расход 1 ЦО в К2,F,т/ч,,253.5461,45.7969,19.4545,350.1568,50.4292,198.5147,251.8796,326.1152,349.2306,False,,,
F14_hydro,F14,24-2000,KIP,"Блок стабилизации. Температура верха колонны К-201 /бензин,УВГ,Н2S",T,°C,,7.0067,16.9009,0.0,15.8347,0.0,2.979,5.9868,10.5469,15.2535,False,,,
T15,T15,AVT,KIP,3 -е ЦО К-2,T,°C,,139.6812,31.8199,6.437,307.0,9.7121,103.7322,141.8861,162.7589,307.0,False,,,
F15,F15,24-2000,KIP,Полисеп. Расход квенча в реактор Р-202,F,т/ч,,3223.8093,671.8905,0.0,3789.6829,0.0,2407.9249,3398.8977,3609.8783,3712.5723,False,,,
F16,F16,AVT,KIP,Расход бензина от Н4 в Е6,F,т/ч,,54.8085,12.6204,-0.1038,77.7884,3.9929,41.3839,55.5059,69.4612,75.9465,False,,,
T16,T16,24-2000,KIP,Блок стабилизации. Колонна К-201. Температура стабильного гидрогенизата низ,T,°C,,39.3283,35.5713,7.3224,307.0,10.4883,25.2665,35.2086,45.5655,307.0,False,,,
T17,T17,AVT,KIP,2-е ЦО из К-2,T,°C,,209.6875,29.7313,7.5372,307.0,13.4195,202.4876,212.4749,219.4186,307.0,False,,,
F17,F17,24-2000,KIP,Расход гидроочищенного ДТ в цех №8 c установки,F,т/ч,,250.6991,60.72,0.0,313.6891,0.0,164.7671,264.6474,306.9027,311.8087,False,,,
T18_avt,T18,AVT,KIP,1-е ЦО из К-2,T,°C,,154.2583,27.6397,6.8817,307.0,9.5769,146.5664,156.6932,162.6779,251.0,False,,,
T18_hydro,T18,24-2000,KIP,Блок стабилизации. Колонна К-201. Давление на выходе,T,°C,,70.632,9.3844,55.6893,99.8199,57.1225,60.4086,68.6884,98.6786,99.8199,False,,,
F19_avt,F19,AVT,KIP,Расход остр.орошения К2,F,т/ч,,68.632,22.2441,10.1708,118.9788,35.165,44.688,65.5161,100.9774,113.5759,False,,,
F19_hydro,F19,24-2000,KIP,Полисеп. Реактор Р-202. Давление на входе,P,кгс/см2,,203.1247,51.6696,-0.1706,307.0,-0.1224,127.9748,214.2306,248.8729,307.0,False,,,
T20,T20,AVT,KIP,Температура верха К2. Выход на FIRC0953,T,°C,,115.8304,28.5508,10.055,307.0,14.6563,112.5042,113.8344,116.8194,307.0,False,,,
Q20,Q20,24-2000,KIP,Блок стабилизации. Расход бензина в колонну К-201,F,т/ч,,7338.7015,3269.0706,80.5817,15041.1992,86.0517,307.0,7918.3926,10853.2554,15039.375,False,,,
P21,P21,AVT,KIP,Давление бензиновых паров верха К2,P,кгс/см2,,3.5634,27.2627,0.0021,307.0,0.0027,1.0058,1.14,1.2118,1.9229,False,,,
Q21,Q21,24-2000,KIP,Блок стабилизации. Расход газа поддува на входе в К-201,F,т/ч,,17.5797,50.6107,2.0735,307.0,3.0579,5.3711,8.5121,24.826,307.0,False,,,
P22,P22,AVT,KIP,Давление верха К2,P,кгс/см2,,5.7622,34.4885,-0.0057,240.0,-0.0041,0.9994,1.1183,1.1956,240.0,False,,,
F22,F22,24-2000,KIP,Блок стабилизации. Расход газа поддува на входе в К-201Температура в сепараторе С-205,T,°C,,10671.8701,3857.4911,0.0,17996.2374,0.0,3761.226,10993.1538,16100.5641,17516.0045,False,,,
P23,P23,AVT,KIP,Давление верха К-2,P,кгс/см2,,3.2394,21.2455,-0.0062,213.0,-0.0047,0.9989,1.1162,1.1927,213.0,False,,,
T23,T23,24-2000,KIP,Расход гидроочищенного ДТ в цех №8 c установки,T,°C,,229.0911,41.0892,8.7866,307.0,13.0238,224.919,235.1619,250.6948,255.4828,True,225.0,250.0,235.0
T24,T24,AVT,KIP,Переток из К-2 в К-6,T,°C,,137.2346,27.7665,5.2169,307.0,8.9454,130.7391,139.1253,146.9415,251.0,False,,,
P24,P24,24-2000,KIP,Расход свежего ВСГ с КЦА на установку,P,кгс/см2,,0.5972,2.8313,0.0264,0.6391,0.0266,0.5525,0.5848,0.6133,0.6303,True,0.55,0.63,0.58
F25_avt,F25,AVT,KIP,Расход бензина после Т26,F,т/ч,,23.5494,37.0437,-0.1527,307.0,-0.1486,10.4671,18.6203,33.3198,307.0,False,,,
F25_hydro,F25,24-2000,KIP,"APC. Показания виртуального анализатора ""Температура вспышки ГОДТ""",T,°C,,12468.5041,2960.9216,0.0,15556.6799,0.0,5830.5614,13094.2012,14891.1221,15388.4441,False,,,
F26_avt,F26,AVT,KIP,Расход пара в К6,F,т/ч,,112.3221,151.9407,-26.7607,307.0,-26.3931,-6.3324,-3.4333,307.0,307.0,False,,,
F26_hydro,F26,24-2000,KIP,Расход сырья на установку (объемный),F,м3/ч,,241.6739,60.5872,-0.2587,303.3647,-0.2295,151.8356,256.3167,297.2183,301.4999,True,190.0,295.0,255.0
F27,F27,AVT,KIP,Расход пара в К7,F,т/ч,,182.3348,53.6046,-0.5443,307.0,54.6444,99.7563,199.542,240.201,307.0,False,,,
F28,F28,AVT,KIP,Расход пара в К9,F,т/ч,,268.614,75.5077,134.0513,380.4099,149.4033,150.2574,270.1383,374.6949,380.0524,False,,,
F29,F29,AVT,KIP,Расход пара в К2,F,т/ч,,10.1097,23.9637,-0.4222,307.0,-0.4222,6.2601,8.4903,9.8942,11.1256,False,,,
F30,F30,AVT,KIP,Расход фр.290-350°С с установки,F,т/ч,,124.0376,29.3614,-0.6099,186.6992,-0.5809,95.3727,127.9271,153.08,170.1819,True,0.18,0.28,0.23
F31,F31,AVT,KIP,Расход нефтепродукта в П3,F,т/ч,,524.7675,107.2823,-2.1412,687.5799,-1.8414,396.2961,537.7752,642.2282,682.8355,False,,,
F32,F32,AVT,KIP,Расход фр.240-290°С с установки,F,т/ч,,79.108,26.081,-0.196,307.0,-0.1659,53.234,81.3132,96.461,105.1795,True,0.1,0.2,0.14
T33,T33,AVT,KIP,Температура низа К-2,T,°C,,328.1752,53.5251,4.5516,341.5339,8.2919,333.2699,338.2442,340.2699,341.1802,False,,,
F34,F34,AVT,KIP,Расход фр.150-250°С с установки,F,т/ч,,87.6033,31.1751,16.5624,251.0,19.6817,56.032,87.1024,112.9673,251.0,True,0.1,0.2,0.15
F35,F35,AVT,KIP,Расход ВЦО в К-10,F,т/ч,,127.2891,31.8806,-4.3107,198.9225,-4.2052,93.5175,131.5818,162.6392,192.1167,False,,,
F36,F36,AVT,KIP,Расход СЦО в К-10,F,т/ч,,126.6879,28.5566,-0.7742,186.7055,-0.6664,93.2466,131.3358,155.9712,177.9789,False,,,
T37,T37,AVT,KIP,Температура ВЦО в К-10,T,°C,,59.9776,13.7715,5.1038,83.5567,8.0162,47.9756,60.9059,71.0603,78.2506,False,,,
T38,T38,AVT,KIP,Температура доп. ВЦО К10,T,°C,,169.0838,31.4819,5.1839,189.2905,8.3123,155.3509,176.2708,187.3173,188.8444,False,,,
T39,T39,AVT,KIP,Температура в К10 (над секцией рег.насадки 1а),T,°C,,204.4667,38.9558,6.8291,252.0,10.6454,186.9133,208.5918,252.0,252.0,False,,,
T40,T40,AVT,KIP,Температура ВЦО из К10,T,°C,,170.1234,31.4696,6.1622,190.591,9.7299,156.1717,177.6294,188.4765,189.9977,False,,,
F41,F41,AVT,KIP,Расход доп. ВЦО в К-10,F,т/ч,,55.6763,31.0479,-0.2104,90.9807,-0.0145,7.988,76.9272,84.8806,90.0903,False,,,
T42,T42,AVT,KIP,Температура фр.420-500°С из К10 в Е12,T,°C,,275.9115,50.5681,5.9887,299.8329,9.5516,268.7864,285.7266,296.121,299.0634,False,,,
L43,L43,AVT,KIP,Уровень в К10,L,%,,59.0686,11.7639,5.2703,63.53,5.8804,57.0603,60.9833,62.3794,63.1167,False,,,
P44,P44,AVT,KIP,Вакуум низа К10,P,кгс/см2,,-0.2125,3.9629,-0.9622,0.9633,-0.9588,-0.9469,-0.8978,0.9483,0.9601,False,,,
F45,F45,AVT,KIP,Расход холодного гудрона в К10,F,т/ч,,16.266,4.0949,-1.3543,26.083,-0.4442,14.0066,16.0121,20.1031,25.9941,False,,,
F46,F46,AVT,KIP,Расход НЦО К10 фракции 350-560,F,т/ч,,106.0152,24.8038,-0.8129,161.8846,-0.6198,94.9826,105.0448,131.3508,160.0364,False,,,
T47,T47,AVT,KIP,Температура фр.350-560 °C после Т-40,T,°C,,176.6897,34.1094,0.4328,206.0945,3.7853,163.7287,179.997,201.5546,205.1641,False,,,
T48,T48,AVT,KIP,Описание: Температура низа К10,T,°C,,342.129,62.3802,5.005,362.1951,8.7684,346.5335,354.7196,360.2442,361.7039,False,,,
T49,T49,AVT,KIP,Описание: Температура верха К10,T,°C,,126.6678,22.2705,7.7674,149.1717,12.1418,114.5459,128.8402,143.3281,148.0802,False,,,
P50,P50,AVT,KIP,Вакуум верха К10,P,кгс/см2,,0.9558,3.3733,-0.0051,0.9824,-0.005,0.9231,0.9504,0.9707,0.9799,False,,,
P51,P51,AVT,KIP,Вакуум верха К-10 (пересчёт на мм рт.ст. с кгс/см2 от AVT6:PIR0825.P),P,мм рт.ст.,,73.6895,129.338,38.1424,756.018,39.3615,42.011,48.0435,59.2299,753.1853,False,,,
P52,P52,AVT,KIP,Перепад давления над 4-й пак.насад. К10,P,кгс/см2,,3.7775,33.8362,-0.0005,307.0,-0.0005,-0.0005,-0.0003,0.0002,307.0,False,,,
F53,F53,AVT,KIP,Расход НЦО  К10 (Регулятор),F,т/ч,,81.1249,21.7786,-0.6432,251.0,-0.0987,75.3721,81.7942,88.8895,97.4838,False,,,
F54,F54,AVT,KIP,"Расход от Н-34/1,2  К10",F,т/ч,,20.6552,8.6222,-1.1034,30.9791,-0.6306,0.041,22.5203,28.3311,29.8618,False,,,
T55,T55,AVT,KIP,Температура на выходе из печи П3 (общ. Выход на FIRC2470),T,°C,,367.9855,67.2286,5.987,386.633,9.2566,375.9485,381.5425,385.0067,386.1438,True,375.0,386.0,380.0
F56,F56,AVT,KIP,Расход в трубопроводе фракции до 350 с установки,F,т/ч,,29.1537,14.4424,-0.2551,52.503,-0.2435,10.5723,28.6356,48.0548,51.2843,True,0.02,0.09,0.05
F57,F57,AVT,KIP,Расход в трубопроводе фракции до 350 с установки,F,т/ч,,33.9964,15.8876,0.0,61.3259,0.0,12.5118,33.41,55.9467,59.8966,True,0.03,0.1,0.06
T58,T58,AVT,KIP,Температура фракции до 350 С от Т-37,T,°C,,56.3311,12.4854,3.5588,77.5215,5.1977,22.7645,58.3268,68.7768,74.671,False,,,
F59,F59,AVT,KIP,Расход фр.420-500°С с установки. Объемный расход,F,м3/ч,,193.1205,43.8086,-3.7692,264.5121,-3.7358,157.241,197.5432,238.2845,259.5545,True,0.3,0.42,0.36
F60,F60,AVT,KIP,Расход в трубопроводе фракции 350-560 с установки,F,т/ч,,169.2568,40.4635,-1.2121,232.2569,-1.1524,137.7027,173.62,209.2392,227.7308,False,,,
T61,T61,AVT,KIP,Температура НЦО в К-10,T,°C,,176.2761,31.8744,3.8378,194.9715,6.6106,170.1891,181.811,192.3587,194.2091,False,,,
F62,F62,AVT,KIP,Расход НЦО К-10,F,т/ч,,107.8333,25.1426,-2.2519,175.8028,-1.3256,97.4964,104.5634,138.2356,165.7341,False,,,
F63,F63,AVT,KIP,Расход гудрона на битумную установку,F,т/ч,,151.8292,59.1123,-0.5482,307.0,-0.5331,-0.1706,163.0205,225.4794,307.0,False,,,
F64,F64,AVT,KIP,Расход 3-го ЦО в К2,F,т/ч,,119.0061,32.2351,5.7472,251.0,9.4755,70.1973,120.7653,161.2653,170.5159,False,,,
F65,F65,AVT,KIP,Производительность К-2 по отбензиненной нефти,F,т/ч,,890.0327,208.1723,12.9309,1196.9563,20.9997,455.002,914.2466,1085.136,1190.1106,False,,,
T66,T66,AVT,KIP,Переток в К-9,T,°C,,249.7491,34.6923,8.6801,307.0,12.2899,241.2964,254.1418,265.7186,307.0,False,,,
P67,P67,AVT,KIP,Давление верха К2.,P,кгс/см2,,4.1734,30.4856,-0.0062,307.0,-0.0046,0.9988,1.1163,1.1928,307.0,False,,,
F68,F68,AVT,KIP,Расход гудрона с установки,F,т/ч,,34.2813,48.5647,-0.1426,307.0,-0.1389,5.3482,22.9616,87.0003,307.0,False,,,
F69,F69,AVT,KIP,Расход гудрона с установки,F,т/ч,,58.6798,46.3251,-0.3684,307.0,-0.3487,6.5157,51.2747,135.538,307.0,False,,,
W70,W70,AVT,KIP,Массовый расход фр.290-350°С с установки,W,т/ч,,96.0515,22.5652,0.0517,133.6444,0.2865,72.7381,99.8063,118.8365,127.6625,False,,,
T71,T71,AVT,KIP,Фр.290-350°С из К-2,T,°C,,295.766,49.7247,4.8926,314.0777,8.009,296.6675,304.3373,311.4313,313.3668,False,,,
24-2000:Mg.Sulfur.Q,24-2000:Mg.Sulfur.Q,24-2000,PAK,Блок стабилизации. Поточный анализатор содержания серы в гидроочищенном ДТ,Q,мг/кг,,,,,,,,,,,False,,,
24-2000:D15,24-2000:D15,24-2000,PAK,Плотность при 15C (расчетная),D,кг/м3,,,,,,,,,,,False,,,
AVT6:240-350:D15,AVT6:240-350:D15,AVT,VAC,"Виртуальный анализатор AVT6:240-350. Формула: 791,22872 - 5,30294x(F30/(F32+ F30)) + 0,52755xT66 - 0,15629xT33",A,-,"791,22872 - 5,30294x(F30/(F32+ F30)) + 0,52755xT66 - 0,15629xT33",,,,,,,,,,False,,,
AVT6:350:T50,AVT6:350:T50,AVT,VAC,"Виртуальный анализатор AVT6:350. Формула: 981,06539+ 0,27467xT42 - 0,32983x(F31/F57)  -0,49014xT48",A,-,"981,06539+ 0,27467xT42 - 0,32983x(F31/F57)  -0,49014xT48",,,,,,,,,,False,,,
24-2000:GODT:T90,24-2000:GODT:T90,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 162.998+0.12945*T12+59.57*F15+0.00036*W7+T23*0.26366-424.72638*F1/F26,2,-,162.998+0.12945*T12+59.57*F15+0.00036*W7+T23*0.26366-424.72638*F1/F26,,,,,,,,,,False,,,
AVT6:240-350:T50,AVT6:240-350:T50,AVT,VAC,Виртуальный анализатор AVT6:240-350. Формула: 283.177+F7*(-0.01685)+0.06248*F30+0.22048*F34-0.25816*F45-0.12159*F59+0.01221*F63,A,-,283.177+F7*(-0.01685)+0.06248*F30+0.22048*F34-0.25816*F45-0.12159*F59+0.01221*F63,,,,,,,,,,False,,,
AVT6:350:I350,AVT6:350:I350,AVT,VAC,Виртуальный анализатор AVT6:350. Формула: 39.562-1.62865*L43-0.76664*T6-0.22361*T18+0.00031*F64*(T15-T11),A,-,39.562-1.62865*L43-0.76664*T6-0.22361*T18+0.00031*F64*(T15-T11),,,,,,,,,,False,,,
24-2000:GODT:T50,24-2000:GODT:T50,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 44.625+10.0224*P13+0.06981*F9+0.8052*T6,2,-,44.625+10.0224*P13+0.06981*F9+0.8052*T6,,,,,,,,,,False,,,
AVT6:240-350:EBP,AVT6:240-350:EBP,AVT,VAC,Виртуальный анализатор AVT6:240-350. Формула: 813.883+2.66463*F30-0.20239*T33-3.65888*F36-14.08235*T37-1.32603*T40+14.60206*T58,A,-,813.883+2.66463*F30-0.20239*T33-3.65888*F36-14.08235*T37-1.32603*T40+14.60206*T58,,,,,,,,,,False,,,
AVT6:350:D15,AVT6:350:D15,AVT,VAC,Виртуальный анализатор AVT6:350. Формула: 983.092+0.27467*T42-0.49014*T48-0.32983*F31/F57,A,-,983.092+0.27467*T42-0.49014*T48-0.32983*F31/F57,,,,,,,,,,False,,,
24-2000:GODT:I250,24-2000:GODT:I250,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 84.585-0.21172*T5+0.12137*T11-0.00014*F25+0.56248*F14-0.16317*T23+0.20272*T16,2,-,84.585-0.21172*T5+0.12137*T11-0.00014*F25+0.56248*F14-0.16317*T23+0.20272*T16,,,,,,,,,,False,,,
AVT6:240-350:CFPP,AVT6:240-350:CFPP,AVT,VAC,"Виртуальный анализатор AVT6:240-350. Формула: 31,40363 - 0,06784xT33 + 17,411xP67 - 8,11544xP4 - 0,47309x(F65/F32+F30))",A,-,"31,40363 - 0,06784xT33 + 17,411xP67 - 8,11544xP4 - 0,47309x(F65/F32+F30))",,,,,,,,,,False,,,
AVT6:350-500:ViscosityK,AVT6:350-500:ViscosityK,AVT,VAC,Виртуальный анализатор AVT6:350. Формула: 5.831+0.00976*T6+0.01188*T13+0.00224*T18+0.01905*T20+0.00794*L43-0.02496*T48-0.00008*P50-0.00882*F53-0.00394*P51-0.00255*F59+0.01153*T61,A,-,5.831+0.00976*T6+0.01188*T13+0.00224*T18+0.01905*T20+0.00794*L43-0.02496*T48-0.00008*P50-0.00882*F53-0.00394*P51-0.00255*F59+0.01153*T61,,,,,,,,,,False,,,
24-2000:GODT:D15,24-2000:GODT:D15,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 667.881+0.15417*LIMS:24-2000.Pipeline.D15+0.00005*F22+0.10774*T11,2,-,667.881+0.15417*LIMS:24-2000.Pipeline.D15+0.00005*F22+0.10774*T11,,,,,,,,,,False,,,
AVT6:350:CFPP,AVT6:350:CFPP,AVT,VAC,"Виртуальный анализатор AVT6:350. Формула: 19,27111 - 0,10582xT48 + 0,13836xT40 - 0,42304x(F31/F57)",A,-,"19,27111 - 0,10582xT48 + 0,13836xT40 - 0,42304x(F31/F57)",,,,,,,,,,False,,,
24-2000:GODT:CloudPoint,24-2000:GODT:CloudPoint,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: F22+0.0021*W7+0.00008*F25-0.30656*F1+0.12018*T6+0.01916*F9-48.254-0.05249*T16+0.00011,2,-,F22+0.0021*W7+0.00008*F25-0.30656*F1+0.12018*T6+0.01916*F9-48.254-0.05249*T16+0.00011,,,,,,,,,,False,,,
24-2000:GODT:T95,24-2000:GODT:T95,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 0.03814*F9-9.201-0.00002*F2+0.62259*T6+0.48321*LIMS:24-2000.Pipeline.95%.T,2,-,0.03814*F9-9.201-0.00002*F2+0.62259*T6+0.48321*LIMS:24-2000.Pipeline.95%.T,,,,,,,,,,False,,,
24-2000:GODT:CFPP,24-2000:GODT:CFPP,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 0.22088*T6-102.375-47.75834*P8+0.03862*F9+43.60207*W7+43.81849*P24,2,-,0.22088*T6-102.375-47.75834*P8+0.03862*F9+43.60207*W7+43.81849*P24,,,,,,,,,,False,,,
24-2000:GODT:IBP,24-2000:GODT:IBP,24-2000,VAC,Виртуальный анализатор 24-2000:GODT. Формула: 137.762-0.0653*F26+0.00011*F22+5.78137*P13-34.58028*P24-0.00993*F14-0.99962*W4+0.32232*T23-0.09406*T16,2,-,137.762-0.0653*F26+0.00011*F22+5.78137*P13-34.58028*P24-0.00993*F14-0.99962*W4+0.32232*T23-0.09406*T16,,,,,,,,,,False,,,
50%.T,50%.T,COMMON,KIP,Технологический параметр 50%.T,5,-,,282.9177,39.8504,240.0,335.275,245.0,263.0,279.0,319.0,331.0,False,,,
90%.T,90%.T,COMMON,KIP,Технологический параметр 90%.T,9,-,,333.4305,26.1204,244.01,363.09,271.82,314.1,336.0,353.0,360.0,False,,,
95%.T,95%.T,COMMON,KIP,Технологический параметр 95%.T,9,-,,346.2164,36.6749,0.0,370.0,262.84,327.4,351.0,366.0,370.0,False,,,
CFPP,CFPP,COMMON,KIP,Технологический параметр CFPP,C,-,,-5.5206,2.7287,-12.0,4.0,-11.0,-9.0,-6.0,1.0,3.4,False,,,
CetaneNumber,CetaneNumber,COMMON,KIP,Технологический параметр CetaneNumber,C,-,,54.2905,1.7762,50.3485,57.6975,50.697,52.01,53.75,57.195,57.595,False,,,
CloudPoint,CloudPoint,COMMON,KIP,Технологический параметр CloudPoint,C,-,,-3.9572,3.1315,-20.505,3.0,-10.0,-7.0,-4.0,0.0,2.0,False,,,
CloudPoint_1,CloudPoint_1,COMMON,KIP,Технологический параметр CloudPoint_1,C,-,,1.625,3.8111,-7.0,9.0,-6.89,-5.0,2.0,7.45,9.0,False,,,
D15,D15,COMMON,KIP,Технологический параметр D15,D,кг/м3,,835.6307,3.8942,827.4197,850.2684,829.7717,832.6237,835.2429,839.7304,847.2864,False,,,
EBP.T,EBP.T,COMMON,KIP,Технологический параметр EBP.T,E,-,,359.2818,22.3704,281.64,371.0,296.08,316.0,365.0,370.0,371.0,False,,,
FilterabilityLimit.T,FilterabilityLimit.T,COMMON,KIP,Технологический параметр FilterabilityLimit.T,F,т/ч,,-6.525,2.025,-10.0,-1.185,-10.0,-9.0,-7.0,-3.0,-2.37,False,,,
FlashPoint,FlashPoint,COMMON,KIP,Технологический параметр FlashPoint,F,т/ч,,67.8577,7.0816,45.585,85.0,48.17,57.0,68.0,80.0,83.0,False,,,
I250,I250,COMMON,KIP,Технологический параметр I250,I,-,,24.1336,4.6674,15.0,37.605,15.0,17.0,24.0,32.0,36.0,False,,,
I350,I350,COMMON,KIP,Технологический параметр I350,I,-,,87.9781,26.2734,0.0,98.0,0.0,0.0,95.0,98.0,98.0,False,,,
IBP.T,IBP.T,COMMON,KIP,Технологический параметр IBP.T,I,-,,194.3549,16.5985,120.0,241.08,128.84,174.0,196.0,212.0,235.0,False,,,
Mass.Sulfur,Mass.Sulfur,COMMON,KIP,Технологический параметр Mass.Sulfur,M,-,,0.9251,0.1082,0.3519,1.0616,0.5014,0.7817,0.946,1.0332,1.0598,False,,,
Mg.Sulfur,Mg.Sulfur,COMMON,KIP,Технологический параметр Mg.Sulfur,M,-,,8.44,5.2352,1.7964,18.4461,3.1232,5.642,8.3735,10.9973,18.4461,False,,,
PourPoint,PourPoint,COMMON,KIP,Технологический параметр PourPoint,P,кгс/см2,,-3.7337,3.3237,-15.0,3.0,-13.0,-10.0,-3.0,1.0,2.0,False,,,
