quality_tag,telemetry_tag,best_lag_min,correlation,corr_10m,corr_30m,corr_60m,corr_90m,corr_120m
90%.T,T6_hydro,120,0.1238,0.1228,0.1228,0.1231,0.1234,0.1238
90%.T,T11_hydro,120,0.1236,0.1231,0.1228,0.1228,0.123,0.1236
90%.T,T23,30,0.109,0.1088,0.109,0.1081,0.1061,0.1054
90%.T,P8,10,0.0306,0.0306,0.03,0.028,0.0271,0.0282
90%.T,P24,120,0.0668,0.0658,0.0626,0.0615,0.0645,0.0668
90%.T,F26_hydro,120,0.0929,0.0889,0.0913,0.0915,0.0912,0.0929
90%.T,W7,10,0.0854,0.0854,0.0823,0.0811,0.0814,0.0811
90%.T,W10,60,0.0429,0.0426,0.0427,0.0429,0.0423,0.0415
90%.T,T55,120,0.0318,0.0257,0.026,0.0282,0.0305,0.0318
90%.T,T1,120,0.0347,0.0338,0.0346,0.0342,0.0346,0.0347
90%.T,T6_avt,30,0.0442,0.0426,0.0442,0.043,0.0396,0.0382
90%.T,F7,90,0.0348,0.0327,0.0331,0.0343,0.0348,0.0333
90%.T,F8,120,0.0519,0.0471,0.0482,0.0499,0.0514,0.0519
90%.T,F9_avt,30,-0.0819,-0.0805,-0.0819,-0.0763,-0.0767,-0.0812
90%.T,F30,10,0.0189,0.0189,0.0164,0.0179,0.0151,0.0124
90%.T,F32,120,0.0252,0.0213,0.0222,0.0212,0.0217,0.0252
90%.T,F34,120,0.0331,0.0252,0.0247,0.0256,0.0269,0.0331
90%.T,F56,90,0.0078,0.0044,0.0056,0.0057,0.0078,0.0057
90%.T,F57,90,0.0068,0.0035,0.0048,0.0048,0.0068,0.0048
90%.T,F59,60,-0.0372,-0.0351,-0.0348,-0.0372,-0.0321,-0.0257
95%.T,T6_hydro,120,0.0485,0.0472,0.0472,0.0474,0.048,0.0485
95%.T,T11_hydro,120,0.0518,0.0504,0.0503,0.0497,0.0504,0.0518
95%.T,T23,10,0.0586,0.0586,0.0578,0.0567,0.0561,0.0551
95%.T,P8,120,-0.0106,-0.009,-0.0086,-0.0084,-0.0093,-0.0106
95%.T,P24,90,0.0467,0.0359,0.0396,0.0451,0.0467,0.0466
95%.T,F26_hydro,90,0.036,0.0319,0.0332,0.0348,0.036,0.0357
95%.T,W7,90,0.0556,0.0139,0.0105,0.0112,0.0556,0.0548
95%.T,W10,10,-0.0248,-0.0248,-0.0236,-0.0222,-0.0206,-0.0214
95%.T,T55,120,0.024,0.0159,0.0181,0.0192,0.0217,0.024
95%.T,T1,90,0.0391,0.0366,0.037,0.0379,0.0391,0.0387
95%.T,T6_avt,60,0.0472,0.045,0.046,0.0472,0.0468,0.0461
95%.T,F7,60,-0.0142,-0.0136,-0.0139,-0.0142,-0.013,-0.0122
95%.T,F8,120,0.0323,0.0282,0.029,0.0294,0.0304,0.0323
95%.T,F9_avt,60,-0.0448,-0.0448,-0.0447,-0.0448,-0.0446,-0.0435
95%.T,F30,10,0.011,0.011,0.01,0.009,0.0068,0.0065
95%.T,F32,30,0.0218,0.0206,0.0218,0.0207,0.0192,0.0215
95%.T,F34,90,-0.0196,-0.0149,-0.0149,-0.017,-0.0196,-0.0171
95%.T,F56,10,-0.0742,-0.0742,-0.0731,-0.0709,-0.0718,-0.0702
95%.T,F57,10,-0.0749,-0.0749,-0.0733,-0.0707,-0.0718,-0.0707
95%.T,F59,120,0.0205,0.0063,0.0081,0.0067,0.013,0.0205
CFPP,T6_hydro,30,0.269,0.2689,0.269,0.2661,0.2666,0.2681
CFPP,T11_hydro,90,0.2701,0.2652,0.2649,0.2659,0.2701,0.27
CFPP,T23,10,0.1732,0.1732,0.1715,0.1662,0.1645,0.1714
CFPP,P8,10,0.2219,0.2219,0.2204,0.2162,0.2114,0.2073
CFPP,P24,90,0.0992,0.0544,0.061,0.0776,0.0992,0.0992
CFPP,F26_hydro,30,0.2027,0.2006,0.2027,0.2014,0.2021,0.2012
CFPP,W7,120,0.1105,0.0759,0.0854,0.1026,0.1094,0.1105
CFPP,W10,10,0.163,0.163,0.1578,0.1533,0.15,0.1515
CFPP,T55,60,0.1606,0.1591,0.1598,0.1606,0.1587,0.1581
CFPP,T1,10,-0.0302,-0.0302,0.0105,0.009,0.013,0.0173
CFPP,T6_avt,10,-0.0577,-0.0577,-0.0047,-0.0026,-0.003,-0.01
CFPP,F7,10,-0.0314,-0.0314,-0.0308,-0.0292,-0.0296,-0.0306
CFPP,F8,120,0.0625,0.0599,0.0612,0.0623,0.0618,0.0625
CFPP,F9_avt,90,0.0568,0.0555,0.0543,0.0559,0.0568,0.056
CFPP,F30,90,0.1218,0.1192,0.1191,0.12,0.1218,0.1212
CFPP,F32,30,0.131,0.1297,0.131,0.1309,0.1286,0.131
CFPP,F34,30,-0.0877,-0.0844,-0.0877,-0.085,-0.0803,-0.0773
CFPP,F56,120,0.0381,0.0357,0.0363,0.0373,0.0379,0.0381
CFPP,F57,120,0.0436,0.0406,0.0417,0.0428,0.0436,0.0436
CFPP,F59,10,-0.052,-0.052,-0.0506,-0.0441,-0.04,-0.0429
FlashPoint,T6_hydro,120,-0.5638,-0.5495,-0.554,-0.5595,-0.5637,-0.5638
FlashPoint,T11_hydro,90,-0.5425,-0.5324,-0.5359,-0.5409,-0.5425,-0.5397
FlashPoint,T23,120,-0.1115,-0.1074,-0.1067,-0.1072,-0.1107,-0.1115
FlashPoint,P8,120,-0.2471,-0.2299,-0.2328,-0.2389,-0.2446,-0.2471
FlashPoint,P24,90,-0.1171,-0.0918,-0.0975,-0.1156,-0.1171,-0.1158
FlashPoint,F26_hydro,90,-0.5496,-0.5325,-0.5381,-0.5455,-0.5496,-0.5481
FlashPoint,W7,120,-0.1126,-0.1072,-0.1024,-0.1019,-0.103,-0.1126
FlashPoint,W10,60,-0.4825,-0.4788,-0.4811,-0.4825,-0.479,-0.471
FlashPoint,T55,120,0.006,0.0055,0.0056,0.0055,0.0045,0.006
FlashPoint,T1,10,-0.0441,-0.0441,-0.0382,-0.0379,-0.0396,-0.0408
FlashPoint,T6_avt,60,0.0677,0.0607,0.0662,0.0677,0.0644,0.061
FlashPoint,F7,10,0.0689,0.0689,0.0686,0.0673,0.0663,0.0655
FlashPoint,F8,10,-0.2021,-0.2021,-0.2016,-0.2014,-0.1993,-0.1974
FlashPoint,F9_avt,90,-0.1872,-0.1839,-0.1836,-0.1857,-0.1872,-0.1871
FlashPoint,F30,120,-0.2698,-0.2682,-0.2675,-0.2655,-0.2659,-0.2698
FlashPoint,F32,60,-0.0385,-0.0367,-0.038,-0.0385,-0.038,-0.0374
FlashPoint,F34,30,-0.0122,-0.0111,-0.0122,-0.0112,-0.0119,-0.0101
FlashPoint,F56,120,-0.0544,-0.051,-0.0495,-0.0479,-0.05,-0.0544
FlashPoint,F57,120,-0.0561,-0.0535,-0.0519,-0.0499,-0.0518,-0.0561
FlashPoint,F59,30,-0.1652,-0.1631,-0.1652,-0.1651,-0.1629,-0.1651
CloudPoint,T6_hydro,10,0.0965,0.0965,0.0948,0.0921,0.0899,0.0892
CloudPoint,T11_hydro,10,0.0965,0.0965,0.0947,0.0924,0.092,0.0931
CloudPoint,T23,90,0.0256,0.0197,0.0197,0.0228,0.0256,0.021
CloudPoint,P8,60,0.111,0.1085,0.1104,0.111,0.1095,0.1059
CloudPoint,P24,30,-0.0217,-0.0213,-0.0217,-0.0191,-0.0116,-0.0103
CloudPoint,F26_hydro,120,0.1497,0.1423,0.1425,0.144,0.1476,0.1497
CloudPoint,W7,90,0.1309,0.1285,0.1292,0.1303,0.1309,0.1275
CloudPoint,W10,30,-0.0908,-0.0896,-0.0908,-0.0873,-0.083,-0.0825
CloudPoint,T55,120,0.0439,0.0361,0.0378,0.0408,0.0428,0.0439
CloudPoint,T1,120,0.0548,0.0439,0.0473,0.0504,0.0536,0.0548
CloudPoint,T6_avt,60,0.1246,0.1184,0.1236,0.1246,0.1237,0.123
CloudPoint,F7,60,0.135,0.1328,0.1347,0.135,0.1336,0.1317
CloudPoint,F8,120,0.0367,0.0337,0.0357,0.0355,0.0355,0.0367
CloudPoint,F9_avt,120,-0.0163,-0.0139,-0.0121,-0.0113,-0.0125,-0.0163
CloudPoint,F30,10,0.0733,0.0733,0.0726,0.0724,0.0729,0.072
CloudPoint,F32,10,0.2365,0.2365,0.2361,0.2331,0.2319,0.2301
CloudPoint,F34,120,0.1202,0.1144,0.1155,0.1154,0.1163,0.1202
CloudPoint,F56,10,-0.0342,-0.0342,-0.0338,-0.0297,-0.028,-0.0257
CloudPoint,F57,10,-0.0334,-0.0334,-0.0328,-0.0291,-0.0274,-0.0247
CloudPoint,F59,30,-0.0643,-0.0601,-0.0643,-0.0642,-0.061,-0.0593
